Title,Name_URL,Tag1,Tag2,column,Follow
Boostable,https://angel.co/company/boostable,San Francisco,SaaS,"
Feb ’14
","
565
"
Bond Street,https://angel.co/company/bond-street,New York City,Small and Medium Businesses,"
Feb ’14
","
402
"
Teleborder,https://angel.co/company/teleborder,San Francisco,Human Resources,"
Sep ’14
","
74
"
MoneyHero.com.hk,https://angel.co/company/moneyhero-com-hk,Hong Kong,Lead Generation,"
Jan ’14
","
36
"
Weebly,https://angel.co/company/weebly,San Francisco,Blogging Platforms,"
May ’12
","
293
"
Samba TV,https://angel.co/company/samba-tv,Austin,Consumer Electronics,"
Dec ’10
","
507
"
Emissary,https://angel.co/company/emissary,New York City,Advice,"
Jul ’14
","
178
"
LivBlends,https://angel.co/company/livblends,San Francisco,Health and Wellness,"
Jan ’14
","
226
"
Gumroad,https://angel.co/company/gumroad,San Francisco,Curated Web,"
Aug ’11
","
743
"
Fundera,https://angel.co/company/fundera,New York City,Small and Medium Businesses,"
Feb ’14
","
325
"
Lygos,https://angel.co/company/lygos,Emeryville,Advanced Materials,"
Apr ’16
","
69
"
Mavin,https://angel.co/company/mavin,Palo Alto,Mobile Advertising,"
Feb ’14
","
117
"
TrueFacet,https://angel.co/company/truefacet,New York City,Jewelry,"
Feb ’14
","
122
"
Density,https://angel.co/company/density,Syracuse,B2B,"
Feb ’14
","
781
"
SupplyBetter,https://angel.co/company/supplybetter,San Francisco,B2B,"
Feb ’14
","
261
"
Makr,https://angel.co/company/makr,Brooklyn,Marketplaces,"
Feb ’14
","
148
"
CrossInstall,https://angel.co/company/crossinstall,San Francisco,Advertising Exchanges,"
Feb ’14
","
26
"
Cover,https://angel.co/company/cover-5,Burlingame,Android,"
Feb ’14
","
47
"
Blueprint Medicines,https://angel.co/company/blueprint-medicines,Cambridge,Biotechnology,"
Feb ’14
","
41
"
WhoKnows,https://angel.co/company/whoknows,San Mateo,Lead Generation,"
Jul ’15
","
164
"
Girls in Tech,https://angel.co/company/girls-in-tech-1,San Francisco,Nonprofits,"
Nov ’14
","
90
"
Swift Navigation,https://angel.co/company/swift-navigation,San Francisco,Robotics,"
Aug ’14
","
242
"
Flipagram,https://angel.co/company/flipagram,Silicon Valley,Photo Sharing,"
Nov ’13
","
311
"
LawnStarter,https://angel.co/company/lawnstarter,Austin,Bridging Online and Offline,"
Dec ’13
","
229
"
Matternet,https://angel.co/company/matternet,Mountain View,Robotics,"
Nov ’13
","
849
"
Frontback,https://angel.co/company/frontback,Brussels,Photo Sharing,"
Nov ’13
","
165
"
Atheer,https://angel.co/company/atheerair,Mountain View,Augmented Reality,"
Nov ’13
","
121
"
JumpCam,https://angel.co/company/jumpcam,San Francisco,Video,"
Dec ’13
","
47
"
Zappos,https://angel.co/company/zappos,Las Vegas,Shoes,"
Sep ’15
","
274
"
Secret,https://angel.co/company/secret,San Francisco,Messaging,"
Oct ’13
","
621
"
Immunity Project,https://angel.co/company/immunity-project,Oakland,Biotechnology,"
Jan ’14
","
349
"
Knotable,https://angel.co/company/knotable,New York City,Project Management,"
Nov ’13
","
69
"
Quill Content,https://angel.co/company/quill-content,London,Online Travel,"
Nov ’13
","
61
"
Senic,https://angel.co/company/senic,San Francisco,Creative Industries,"
Jul ’17
","
51
"
Thanx,https://angel.co/company/thanx,San Francisco,Loyalty Programs,"
Aug ’12
","
506
"
